model,n_outer_folds,accuracy_mean,accuracy_se,balanced_accuracy_mean,balanced_accuracy_se,mcc_mean,mcc_se,sensitivity_mean,sensitivity_se,specificity_mean,specificity_se,kta_mean,kta_se,cka_mean,cka_se,effective_rank_mean,effective_rank_se
ZZFeatureMap (entangled),100,0.56875,0.009167527507788596,0.5635119047619047,0.009253771006260757,0.13795086468831527,0.021511659608360375,0.41160714285714284,0.026209378017863792,0.7154166666666666,0.021902952541351172,0.11004827157593736,0.00208117792088981,0.11563738050612253,0.001663175694296391,45.093994214933616,1.3962455991078344
ZFeatureMap (no entanglement),100,0.554375,0.010830965650356015,0.5524603174603174,0.01092307216055156,0.11105686224448634,0.022967591995127733,0.4858928571428571,0.023049692616732002,0.6190277777777777,0.018237829631484136,0.072232301304536,0.003689992180453276,0.09506107517456754,0.002226413612770614,24.778359839245145,1.7036683736646385
Classical - linear,100,0.468125,0.009210252782260177,0.46617063492063493,0.009136754665629488,-0.06898839776248261,0.018781878229164328,0.4280357142857143,0.014934869854112093,0.5043055555555556,0.015784864627330673,-0.003046214619758787,0.0010043631077850208,0.04161578214046151,0.0010609767468753475,7.152388266765561,0.01461864886541514
Classical - RBF,100,0.561875,0.008543514212606549,0.559484126984127,0.008800148429417638,0.13586480886676153,0.019283586579394475,0.4416071428571429,0.02530077647726458,0.6773611111111112,0.021009686622462068,0.07773831369829766,0.003921254602322156,0.09716346483543566,0.0024408915358257125,28.372926528699974,2.128641759875438
Classical - poly,100,0.56625,0.010945658933794232,0.5625,0.011016097370741145,0.13235111553532375,0.023035532210313382,0.49,0.01831188659538753,0.6350000000000001,0.01590094744636248,0.018891491663032,0.002754589193980487,0.08106032874612681,0.001031451949509254,17.927542323281944,0.3920888280165039
Majority-class baseline,100,0.525,0.0030772872744833186,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
