model,n_outer_folds,accuracy_mean,accuracy_se,balanced_accuracy_mean,balanced_accuracy_se,mcc_mean,mcc_se,sensitivity_mean,sensitivity_se,specificity_mean,specificity_se
ZZFeatureMap (group-aware),100,0.44977431421746283,0.012638488647553755,0.4828313781806428,0.010857446474949534,-0.040050816152572055,0.02410632583210346,0.31472009934509937,0.02776953973110962,0.6509426570161864,0.029139072498734188
ZFeatureMap (group-aware),100,0.43923002581752413,0.011685955563462365,0.4665919342095812,0.011003175184528619,-0.06446300277707312,0.02221436669977798,0.3271275391275391,0.02753059953115674,0.6060563292916235,0.027891002730134118
Classical - linear (group-aware),100,0.4317433817146295,0.010927176631895191,0.454218884465208,0.010914418917339314,-0.08743574280605886,0.02200205191817412,0.3996783633033633,0.021322371439088994,0.5087594056270527,0.023321128751287546
Classical - RBF (group-aware),100,0.44463408415866346,0.012680437388100093,0.4682667455093925,0.010405911429074268,-0.058640199563647494,0.02113032823160275,0.28801307026307027,0.028371241305014054,0.6485204207557149,0.03333531241870404
Classical - poly (group-aware),100,0.5017801372332568,0.011561016191390347,0.5043270977388624,0.011563182230581965,0.015487176020326907,0.02361816654555592,0.3928372738372738,0.02315034568194435,0.6158169216404511,0.021941783199554265
Majority-class baseline (group-aware),100,0.44373693371484463,0.014036580220649691,0.5,0.0,0.0,0.0,0.19,0.039427724440366255,0.81,0.039427724440366255
