comparison,mean_diff,ci_low,ci_high,excludes_zero
ZZ - Z,0.011051587301587298,-0.010081349206349208,0.03307589285714285,False
ZZ - Classical RBF,0.004027777777777778,-0.015922619047619043,0.023601934523809508,False
ZZ - Classical linear,0.09734126984126983,0.07583333333333334,0.11884027777777777,True
ZZ - Classical poly,0.0010119047619047577,-0.02265873015873016,0.02539781746031744,False
Z - Classical RBF,-0.007023809523809521,-0.02507936507936507,0.009960317460317463,False
