model,balanced_accuracy_random_split,balanced_accuracy_group_aware,drop
ZZFeatureMap (entangled),0.5635119047619047,0.4828313781806428,0.0806805265812619
ZFeatureMap (no entanglement),0.5524603174603174,0.4665919342095812,0.0858683832507362
Classical - linear,0.46617063492063493,0.454218884465208,0.011951750455426957
Classical - RBF,0.559484126984127,0.4682667455093925,0.09121738147473446
Classical - poly,0.5625,0.5043270977388624,0.05817290226113758
