model,n_outer_folds,accuracy_mean,accuracy_se_naive,balanced_accuracy_mean,balanced_accuracy_se_naive,mcc_mean,mcc_se_naive,sensitivity_mean,sensitivity_se_naive,specificity_mean,specificity_se_naive,kta_mean,cka_mean,effective_rank_mean
ZZFeatureMap,100,0.80625,0.00929575090288487,0.8072817460317461,0.009417502789323278,0.6247749939242254,0.018689535603815668,0.8067857142857142,0.014880692638425775,0.8077777777777777,0.012893210603290618,0.1361467298868231,0.26824565523145916,5.330232215644177
ZFeatureMap,100,0.83125,0.009037485068515264,0.8318849206349206,0.009041267427189244,0.6738541374310762,0.017881985061475574,0.8332142857142857,0.013771920365680587,0.8305555555555556,0.012497661584489875,0.06496191086540415,0.33042321310953665,2.092042058842137
Classical linear,100,0.8325,0.009479843049461537,0.833015873015873,0.009463586750407588,0.6766523659363658,0.018844096830169757,0.8246428571428571,0.014038673870727597,0.8413888888888889,0.012848490473390973,0.3109273015912814,0.3363741348263262,3.818560279832564
Classical RBF,100,0.8325,0.009097535463802903,0.8332738095238096,0.009149034063139577,0.6767392629585006,0.01817738146045945,0.8369642857142857,0.013735468605580356,0.8295833333333335,0.012847997595432755,0.08494642443278771,0.31968144236382484,3.851238692396016
Classical poly,100,0.844375,0.009037266769137981,0.8448710317460317,0.009081643245579741,0.698727679670063,0.017818535906874093,0.8407142857142857,0.014160435531667303,0.8490277777777777,0.011538928119193641,0.18376236202384902,0.283458341716201,6.7551825266588335
Majority baseline,100,0.525,0.0030772872744833186,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
