comparison,scheme,mean_diff,fold_boot_lo,fold_boot_hi,fold_boot_excl_0,nadeau_bengio_lo,nadeau_bengio_hi,nadeau_bengio_p,nadeau_bengio_excl_0,group_boot_diff,group_boot_lo,group_boot_hi,group_boot_excl_0
ZZFeatureMap - ZFeatureMap,random,-0.02460317460317461,-0.04170783730158731,-0.008075148809523813,True,-0.11093919537684686,0.06173284617049764,0.5730522422807618,False,-0.02506265664160412,-0.06413947878702933,0.01039308057301739,False
ZZFeatureMap - Classical RBF,random,-0.025992063492063493,-0.042619047619047626,-0.00957316468253969,True,-0.110869618075359,0.058885491091232006,0.5448261913978474,False,-0.026441102756892265,-0.06820230395053399,0.016304992492492478,False
ZZFeatureMap - Classical linear,random,-0.02573412698412699,-0.044275793650793656,-0.005297371031746038,True,-0.1267626936968013,0.0752944397285473,0.6143856722957728,False,-0.02581453634085218,-0.07119299604482539,0.017600123355263064,False
ZZFeatureMap - Classical poly,random,-0.03758928571428572,-0.05437500000000001,-0.020832837301587314,True,-0.12453465345561332,0.04935608202704187,0.3930523207999117,False,-0.037938596491228105,-0.0711245921813702,-0.009972538316794292,True
ZFeatureMap - Classical RBF,random,-0.0013888888888888872,-0.010902777777777775,0.007976190476190477,False,-0.05050221629666288,0.04772443851888511,0.9553655153431908,False,-0.0013784461152881455,-0.017760125069290523,0.014007970647773359,False
ZFeatureMap - Classical linear,random,-0.0011309523809523814,-0.015456349206349205,0.015238343253968252,False,-0.08106336036283286,0.07880145560092809,0.9776593228551012,False,-0.0007518796992480592,-0.02326562499999997,0.019589957234749485,False
ZFeatureMap - Classical poly,random,-0.012986111111111111,-0.026687251984126983,-0.000237847222222224,True,-0.08118477184259834,0.05521254962037611,0.7063683329251458,False,-0.012875939849623985,-0.035852791305916336,0.008982273391812854,False
ZZFeatureMap - Majority baseline,random,0.307281746031746,0.28905753968253967,0.3256651785714285,True,0.21199958751740922,0.4025639045460828,5.232333011306878e-09,True,0.3062030075187969,0.22259825058072014,0.379062479240708,True
