comparison,scheme,mean_diff,fold_boot_lo,fold_boot_hi,fold_boot_excl_0,nadeau_bengio_lo,nadeau_bengio_hi,nadeau_bengio_p,nadeau_bengio_excl_0,group_boot_diff,group_boot_lo,group_boot_hi,group_boot_excl_0
ZZFeatureMap - ZFeatureMap,group-aware,-0.045197457362898534,-0.07030196470196468,-0.020681102710606386,True,-0.1740183418849311,0.08362342715913401,0.48795200932182103,False,-0.040413533834586346,-0.09174678528708133,0.005168265794739867,False
ZZFeatureMap - Classical RBF,group-aware,-0.02319206202294438,-0.04889189664502165,0.001477676918669564,False,-0.15338014933362484,0.10699602528773608,0.7244848448051329,False,-0.020864661654135253,-0.07431691148087452,0.02829844824890558,False
ZZFeatureMap - Classical linear,group-aware,-0.047528085068526245,-0.07350864686783805,-0.0221530812937063,True,-0.18226798300885186,0.08721181287179938,0.4856238912532955,False,-0.04730576441102752,-0.10818623737373748,0.006346602507399649,False
ZZFeatureMap - Classical poly,group-aware,-0.047702022242463435,-0.07136369385312401,-0.025222987388428583,True,-0.16891542425398137,0.07351137976905452,0.4367458045947896,False,-0.040664160401002514,-0.08895040490858508,0.0019289682539682077,False
ZFeatureMap - Classical RBF,group-aware,0.02200539533995416,0.008927536658602834,0.03598413852283337,True,-0.048230661909761566,0.09224145258966988,0.5355894516464161,False,0.019548872180451093,0.006227368414470908,0.03402373242698345,True
ZFeatureMap - Classical linear,group-aware,-0.0023306277056277048,-0.01700677083333333,0.011844191919191923,False,-0.07845496015333214,0.07379370474207672,0.9516816395095931,False,-0.006892230576441172,-0.0297622508305649,0.012778167663752105,False
ZFeatureMap - Classical poly,group-aware,-0.0025045648795648857,-0.018841799346486856,0.01368927669552669,False,-0.08812336944498311,0.08311423968585335,0.9538311139801887,False,-0.00025062656641616776,-0.018667527106996703,0.015592770034843167,False
ZZFeatureMap - Majority baseline,group-aware,0.2817952362180303,0.258066217677339,0.3042197825662899,True,0.16116355322106585,0.4024269192149948,1.089742286008999e-05,True,0.3578947368421053,0.2720099563748945,0.4310980192301807,True
