model,n_outer_folds,accuracy_mean,accuracy_se_naive,balanced_accuracy_mean,balanced_accuracy_se_naive,mcc_mean,mcc_se_naive,sensitivity_mean,sensitivity_se_naive,specificity_mean,specificity_se_naive,kta_mean,cka_mean,effective_rank_mean
ZZFeatureMap,100,0.7834688842521057,0.010686719519372204,0.7817952362180304,0.011923000368780863,0.5643166095502415,0.02281064376860352,0.7442795399045399,0.020963182157678874,0.8193109325315209,0.014493781307281892,0.14611529212719163,0.26196089567701064,5.911104977634946
ZFeatureMap,100,0.8290926841020664,0.010758716755526589,0.8269926935809289,0.011596796042369496,0.6511609517816,0.022272756324380395,0.8083440448440449,0.019188166602242217,0.845641342317813,0.013769173569066826,0.08018803745617868,0.3256879066337236,2.3811370152491915
Classical linear,100,0.8356363386043121,0.010567302540422025,0.8293233212865566,0.011269535410446877,0.6585807852321851,0.022229494518385927,0.8228029193029193,0.018137892868428478,0.835843723270194,0.013309343783240132,0.30903386699630575,0.33367886748931996,3.8061390517025813
Classical RBF,100,0.8098536351822899,0.010831706973134661,0.8049872982409748,0.011545600085035268,0.6124010719912699,0.022466275468992932,0.7695188283938283,0.020451666343374895,0.8404557680881212,0.014188331092882625,0.0960772232217874,0.3145486155508512,4.046136986777026
Classical poly,100,0.8295849260327723,0.011116684755371009,0.8294972584604936,0.011315184400902494,0.6571625182650322,0.022306464209948057,0.8181748529248529,0.017684284092178218,0.8408196639961346,0.014934883231673763,0.19631559287241976,0.2899890989053756,6.60671730974475
Majority baseline,100,0.44373693371484463,0.014036580220649691,0.5,0.0,0.0,0.0,0.19,0.039427724440366255,0.81,0.039427724440366255,,,
