fold,best_representation,inner_score,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_train,n_test,best_C,best_gamma
0,mean_z,0.8122519841269842,0.875,0.875,0.75,0.035909326740753096,0.3301832615988054,1.4091143258760233,64,16,10,0.01
1,mean_z,0.8184523809523809,0.9375,0.9375,0.8819171036881969,0.1500627066605349,0.2409687181295024,8.237319228089843,64,16,1,scale
2,mean_z,0.9565972222222222,0.625,0.625,0.2581988897471611,0.2272433923374981,0.39299085946784934,7.355419607736472,64,16,1,0.1
3,mean_z,0.8392857142857143,0.9375,0.9285714285714286,0.8783100656536799,0.031044185143523296,0.32536840674859147,1.4033366555555202,64,16,10,0.01
4,mean_z,0.7958829365079365,0.9375,0.9444444444444444,0.8819171036881969,0.15398341004478952,0.25844109424328704,8.198529157032404,64,16,1,scale
5,mean_z,0.9040178571428572,0.75,0.75,0.5163977794943222,0.20500275792102723,0.32588594020593853,7.767183313150108,64,16,1,scale
6,mean_z,0.8328373015873016,0.875,0.875,0.7745966692414834,0.15831987544530685,0.25980672296496626,8.33122884287498,64,16,1,scale
7,mean_z,0.8757440476190476,0.75,0.75,0.5163977794943222,0.1938434821739596,0.32244331191937126,7.626666904472459,64,16,1,scale
8,mean_z,0.8115079365079365,0.875,0.8888888888888888,0.7777777777777778,0.16530218033145558,0.2791026424205657,7.88015059913129,64,16,1,scale
9,mean_z,0.7842261904761905,0.875,0.8571428571428572,0.7644707871564383,0.14905827867867263,0.24495834863419344,8.43672569468092,64,16,1,scale
10,mean_z,0.8583829365079365,0.6875,0.6875,0.3779644730092272,0.035853259646815114,0.3357297479480874,1.409262890872168,64,16,1,0.01
11,mean_z,0.8167162698412698,0.875,0.875,0.7745966692414834,0.19228066539109698,0.31069176224750406,7.84487137052958,64,16,1,scale
12,mean_z,0.830109126984127,0.875,0.875,0.7745966692414834,0.18152984123772564,0.2862801599262179,8.304296753608549,64,16,1,scale
13,mean_z,0.8311011904761905,0.8125,0.8015873015873016,0.6180700462007377,0.02895521963122835,0.3429327219562691,1.3640075064437427,64,16,10,0.01
14,mean_z,0.8159722222222222,0.9375,0.9444444444444444,0.8819171036881969,0.14534014528146408,0.24976098132480853,7.99914194226536,64,16,1,scale
15,mean_z,0.835813492063492,0.875,0.875,0.75,0.16842843680057115,0.27785717844199426,7.7702317880116025,64,16,1,scale
16,mean_z,0.8618551587301587,0.75,0.75,0.5,0.0358726726691842,0.3626582097358341,1.3718126815150076,64,16,10,0.01
17,mean_z,0.8110119047619049,1.0,1.0,1.0,0.034184813363467764,0.3023873260470823,1.4287827363559444,64,16,10,0.01
18,mean_z,0.8276289682539683,0.875,0.873015873015873,0.746031746031746,0.03292408518008901,0.3463096499661298,1.4032120622361886,64,16,10,0.01
19,mean_z,0.8415178571428572,0.6875,0.6746031746031746,0.3578300267477955,0.029160733358884562,0.35224211285954615,1.358568478064777,64,16,1,0.01
20,mean_z,0.8479662698412698,0.875,0.875,0.7745966692414834,0.032445553317157164,0.32405126314808624,1.3787366642673056,64,16,10,0.01
21,mean_z,0.8583829365079365,0.6875,0.6875,0.3779644730092272,0.039463323715851414,0.39485618195776756,1.3802140395420524,64,16,10,0.01
22,mean_z,0.8266369047619048,0.6875,0.6875,0.3779644730092272,0.16728839556335828,0.27584440415310324,7.985804031957529,64,16,10,scale
