scheme,n_outer_folds,unique_partitions,folds_with_group_leakage,test_appearances_min,test_appearances_max,mean_n_train,mean_n_test
random,100,100,100,20,20,64.0,16.0
grouped,100,100,0,20,20,64.0,16.0
