model,balanced_accuracy_random,balanced_accuracy_group_aware,drop
ZZFeatureMap,0.8072817460317461,0.7817952362180304,0.025486509813715696
ZFeatureMap,0.8318849206349206,0.8269926935809289,0.004892227053991727
Classical linear,0.833015873015873,0.8293233212865566,0.0036925517293163734
Classical RBF,0.8332738095238096,0.8049872982409748,0.02828651128283477
Classical poly,0.8448710317460317,0.8294972584604936,0.015373773285538128
Majority baseline,0.5,0.5,0.0
