model,n_outer_folds,accuracy_mean,accuracy_se,balanced_accuracy_mean,balanced_accuracy_se,mcc_mean,mcc_se,sensitivity_mean,sensitivity_se,specificity_mean,specificity_se,kta_mean,kta_se,cka_mean,cka_se,effective_rank_mean,effective_rank_se
ZZFeatureMap (entangled),100,0.565,0.009397909718161113,0.5587896825396825,0.009364700391195623,0.1339200309569325,0.02119369357462167,0.40785714285714275,0.023537022858952948,0.7097222222222223,0.021003791990134392,0.11139332373497421,0.0020064656995803887,0.11710890339928767,0.0015963736170882727,44.4478594756045,1.338584910796063
ZFeatureMap (no entanglement),100,0.55625,0.010604369453916226,0.555218253968254,0.010672499148924102,0.12215594674721743,0.02313095509167646,0.49946428571428564,0.021396162059493472,0.6109722222222222,0.019426895038624954,0.0713943027354812,0.003681008294643048,0.0957454937112613,0.0021591581434193324,24.855815116225372,1.7753536325856083
Classical - linear,100,0.49125,0.009972341801708414,0.4893452380952381,0.009950628261226085,-0.02305918677254753,0.020519544166063042,0.44910714285714287,0.015839018199569163,0.5295833333333334,0.01606136981663089,-0.004513277917337149,0.0009862723708495085,0.04013429621437745,0.0010375889260558666,7.2106012367835834,0.014846081014552304
Classical - RBF,100,0.560625,0.00994996161354963,0.5595039682539683,0.010145146553092312,0.12938456655789174,0.021573025802874082,0.4617857142857143,0.024917432193715845,0.6572222222222223,0.019834236367599865,0.07854677282757232,0.003965047485852639,0.097397650826085,0.002518774367834247,28.30057004233342,2.0667384885491016
Classical - poly,100,0.5775,0.01095646804034913,0.5741071428571428,0.010920844140148754,0.1573118484779771,0.022961785512082427,0.4932142857142857,0.018201548895334135,0.655,0.01635120455838158,0.020383957770521866,0.0030521167511300654,0.0820426772262863,0.0010480143944637864,19.011497956698417,0.39790607415192614
Majority-class baseline,100,0.525,0.0030772872744833186,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
