fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C,best_degree,best_gamma,best_coef0
0,0.375,0.375,-0.25,-0.004178742021969155,0.07167272515159315,16.7342935097359,16,1.0,2,0.1,0.0
1,0.6875,0.6875,0.3779644730092272,0.014859405878126,0.08955334691825736,17.21084304857349,16,1.0,2,0.1,0.0
2,0.625,0.625,0.2886751345948129,0.07555999305756841,0.07627413380791817,22.11899524166373,16,10.0,3,scale,0.0
3,0.625,0.6507936507936507,0.32277655457716287,-0.003085344531272114,0.07167126559475238,16.540786454536853,16,0.1,2,0.1,0.0
4,0.5,0.46031746031746035,-0.10087125544480041,0.003977265949684247,0.08300893418356148,21.369425183002324,16,1.0,3,0.1,1.0
5,0.5625,0.5625,0.13483997249264842,-0.003510183449266427,0.06318042947425767,11.440275556134138,16,1.0,3,scale,1.0
6,0.375,0.375,-0.2581988897471611,0.018445662333837487,0.08886549623679432,22.842968587026355,16,0.1,3,0.1,0.0
7,0.6875,0.6875,0.3779644730092272,0.0039024751772440023,0.08023169739986177,17.061912220217046,16,0.1,2,1,1.0
8,0.4375,0.4365079365079365,-0.1259881576697424,0.0017030400032610204,0.08237776610986039,21.063267204621233,16,0.1,3,0.1,1.0
9,0.625,0.5873015873015872,0.2219167619785609,-0.002285509063797546,0.08359288294980213,23.390422416666702,16,0.1,3,0.1,1.0
10,0.625,0.625,0.25,0.07719675103209045,0.09519153696497204,16.308546375743585,16,1.0,2,scale,0.0
11,0.625,0.625,0.2886751345948129,0.00918928399080724,0.08174149185319432,17.109505759794004,16,1.0,2,0.1,0.0
12,0.5625,0.5625,0.1259881576697424,0.004240126065681846,0.08572801471484735,21.621729806866707,16,0.1,3,0.1,1.0
13,0.75,0.7142857142857143,0.5447047794019222,-0.022925794062804122,0.052541252907231516,16.188136754639643,16,0.1,2,0.1,0.0
14,0.4375,0.4365079365079365,-0.1259881576697424,0.015966657952446058,0.08540482381633653,21.879409970901637,16,0.1,3,0.1,0.0
15,0.4375,0.4375,-0.13483997249264842,0.008516466313903329,0.08604964525792742,22.11774597544203,16,0.1,3,0.1,1.0
16,0.5,0.5,0.0,0.025274219298563647,0.10112578072892009,21.91073437681519,16,10.0,3,0.1,1.0
17,0.5625,0.5625,0.13483997249264842,-0.004560567967284757,0.06367855315581986,11.831717032435437,16,0.1,3,scale,1.0
18,0.5625,0.5634920634920635,0.1259881576697424,-0.0018902047247527827,0.07763935792190617,17.12660977756479,16,1.0,2,1,1.0
19,0.75,0.7619047619047619,0.5238095238095238,-0.00422082318025665,0.07027537448817649,20.321422894490713,16,1.0,3,0.1,0.0
20,0.5625,0.5625,0.13483997249264842,0.022653435920525072,0.10200516672600946,17.013594600951368,16,0.1,2,1,1.0
21,0.375,0.375,-0.2581988897471611,0.08061027734338307,0.08129804713679852,20.619856450283613,16,10.0,3,scale,0.0
22,0.5,0.5,0.0,0.024420422694725524,0.08877020876467459,21.023615758657915,16,10.0,3,0.1,0.0
23,0.75,0.7301587301587301,0.49265895172303803,0.07251517519705655,0.07440399281892329,22.780679674529146,16,10.0,3,scale,0.0
