fold,accuracy,balanced_accuracy,mcc,kta,cka,effective_rank,n_test,best_C
0,0.5,0.5,0.0,-0.006432187721758877,0.039041041313965644,7.220998990622116,16,0.1
1,0.5625,0.5625,0.1259881576697424,-0.003479866113087881,0.04202376275837415,7.4592123349978765,16,0.1
2,0.4375,0.4375,-0.13483997249264842,-0.0017629846718053535,0.04190287985216423,7.311984639696105,16,0.1
3,0.5625,0.5476190476190476,0.09759000729485331,-0.005143843822848362,0.03962534224035011,7.081524753663581,16,1.0
4,0.625,0.6190476190476191,0.23809523809523808,-0.01780639055208119,0.025689183066729872,7.004241911262672,16,0.1
5,0.375,0.375,-0.2581988897471611,-0.007799299944537997,0.03657234592618446,7.144211034550458,16,1.0
6,0.5,0.5,0.0,0.00044568626633256786,0.04556000431620138,7.452900587488998,16,0.1
7,0.5625,0.5625,0.13483997249264842,-0.00421713073723839,0.03993668594975029,7.334589122453318,16,0.1
8,0.5625,0.5476190476190476,0.09759000729485331,0.00047946850764305583,0.045356166961572665,6.831087442232244,16,0.1
9,0.625,0.6031746031746031,0.22084711628963774,-0.014236685242423368,0.03138588977650867,7.3627755071489,16,1.0
10,0.375,0.375,-0.2581988897471611,0.0111700043376553,0.05354151816700107,7.245132109188211,16,0.1
11,0.5,0.5,0.0,-0.010650095332072545,0.03537328161942939,7.369252284242678,16,1.0
12,0.4375,0.4375,-0.13483997249264842,-0.0023887196449899,0.04362849008065241,7.02164730849396,16,1.0
13,0.5,0.4920634920634921,-0.015873015873015872,-0.015725203304995456,0.028099498795777365,7.055286373598813,16,10.0
14,0.375,0.4126984126984127,-0.2219167619785609,0.00046117981316547466,0.04576660776593898,7.258966395727415,16,1.0
15,0.4375,0.4375,-0.1259881576697424,0.003300901441992063,0.04626104087868347,7.103961713733155,16,1.0
16,0.625,0.625,0.2581988897471611,-0.004050227488237296,0.04091071413582139,7.200222056998559,16,1.0
17,0.4375,0.4375,-0.13483997249264842,-0.008917190857383336,0.03477670019685203,7.249172250992845,16,10.0
18,0.5,0.4920634920634921,-0.015873015873015872,-0.00698011074335007,0.03831369023815689,7.161687806556175,16,10.0
19,0.625,0.6190476190476191,0.23809523809523808,-0.007611513159526771,0.03857695656935328,7.216383593467212,16,0.1
20,0.5,0.5,0.0,0.0032038913863971477,0.04511625398383906,7.219134559371722,16,1.0
21,0.4375,0.4375,-0.13483997249264842,-0.0192848193614542,0.024450032110685166,6.993327049891246,16,1.0
22,0.375,0.375,-0.2581988897471611,0.019817717912428024,0.06412055158101693,6.988790251262814,16,0.1
23,0.375,0.3968253968253968,-0.22084711628963774,-0.0048482676317720946,0.04321748071754487,7.331078038692768,16,0.1
24,0.5625,0.5317460317460317,0.07273929674533079,-0.01938443122701695,0.025555141545263147,7.573971404135192,16,1.0
25,0.375,0.375,-0.2886751345948129,-0.009354834798394324,0.0331037700349277,7.065730621742291,16,1.0
26,0.5,0.5,0.0,0.0036700917549365047,0.04772899154472877,7.384653949958811,16,1.0
27,0.5625,0.5625,0.1259881576697424,-0.009359459453475653,0.033555939507686566,7.168669034614459,16,0.1
28,0.5,0.4920634920634921,-0.015873015873015872,-0.010137734015135779,0.03689388900846227,7.261828994765503,16,1.0
29,0.625,0.6349206349206349,0.2698412698412698,-0.007540833121759013,0.03699134208225606,7.171997603691918,16,0.1
30,0.375,0.375,-0.25,-0.012232116613925339,0.030211479767031358,7.105724346985875,16,1.0
31,0.5,0.5,0.0,-0.0007863784359486579,0.044407390783457186,7.230271192104963,16,0.1
32,0.5,0.5,0.0,-0.01688724369123972,0.02843524421130769,7.265637355590297,16,0.1
33,0.4375,0.4365079365079365,-0.1259881576697424,0.010732985002886488,0.05782137405443196,7.374886386276482,16,0.1
34,0.5625,0.5634920634920635,0.1259881576697424,-0.012807948729076733,0.031006351974933545,7.196994258809741,16,10.0
35,0.6875,0.6875,0.3779644730092272,-0.021730350756027247,0.021532925181327312,7.140048910414211,16,1.0
36,0.4375,0.4375,-0.13483997249264842,0.010141971002305615,0.05730537295334674,7.310699339443374,16,0.1
37,0.4375,0.4375,-0.1259881576697424,-0.001959179420245589,0.04110658614240837,7.258204762995442,16,0.1
38,0.4375,0.4365079365079365,-0.1259881576697424,-0.01215602347373066,0.03351623242458873,7.302501690494825,16,10.0
39,0.5,0.4920634920634921,-0.015873015873015872,0.010718833999157473,0.0564233402748045,7.1343184229473815,16,0.1
40,0.375,0.375,-0.2581988897471611,0.0011454057016211726,0.045911321262917776,7.196250967276951,16,0.1
41,0.4375,0.4375,-0.13483997249264842,-0.005438940797234469,0.03888987314965001,7.142124199867422,16,0.1
42,0.5,0.5,0.0,-0.0012020145263996875,0.04389610342206003,7.159783348170173,16,10.0
43,0.5,0.47619047619047616,-0.050964719143762556,-0.005684828992924605,0.03878437995252468,7.453331772967596,16,0.1
44,0.5625,0.5476190476190476,0.09759000729485331,-0.010570230695184282,0.0351227397317765,7.0756179359474665,16,0.1
45,0.6875,0.6875,0.3779644730092272,-0.014893310568904713,0.02831495555119801,7.129891327502306,16,0.1
46,0.375,0.375,-0.2886751345948129,0.011029131183391848,0.05514539198000973,7.32602556434545,16,0.1
47,0.625,0.625,0.2886751345948129,-0.017864981999056697,0.026401035349551873,7.250865673312675,16,0.1
48,0.4375,0.4365079365079365,-0.1259881576697424,0.016621936140125384,0.06263094087524126,6.879934555680499,16,0.1
49,0.5625,0.5476190476190476,0.09759000729485331,-0.010431479199126572,0.03634012497998324,7.4437046347383555,16,1.0
50,0.5,0.5,0.0,0.0031864437619156124,0.050120176194311,7.05417034556562,16,1.0
51,0.5625,0.5625,0.1259881576697424,-0.017605904518953983,0.02696970693436235,7.358472702928204,16,0.1
52,0.625,0.625,0.2581988897471611,-0.006387319597785327,0.03554782351660799,7.383192203172059,16,1.0
53,0.5,0.47619047619047616,-0.050964719143762556,0.0013842961874441318,0.04611966050313131,6.9950736270552225,16,0.1
54,0.5,0.5238095238095238,0.050964719143762556,-0.005151171117190028,0.040245229432636094,7.310089880848219,16,0.1
55,0.375,0.375,-0.2581988897471611,-0.004633515818612022,0.03969316464121843,6.865952534832266,16,1.0
56,0.5,0.5,0.0,-0.001801955636041171,0.041047360814735034,7.324105710612974,16,0.1
57,0.5,0.5,0.0,0.010294208496274992,0.05638555151171865,7.1742200842698,16,1.0
58,0.5625,0.5634920634920635,0.1259881576697424,-0.009798759814505212,0.03447527365681026,7.126996253882004,16,1.0
59,0.5625,0.5476190476190476,0.09759000729485331,-0.011344367844015062,0.035149793593946106,7.537032618945547,16,1.0
