z1_mean,z1_std,z2_mean,z2_std,z3_mean,z3_std,z4_mean,z4_std,z5_mean,z5_std
-1.2709676533333334,2.946660980003071,-0.36420712111111103,2.068769777845926,-1.277728638888889,1.6823411882937278,0.052868871111111125,1.223841207688721,0.1893396122222222,0.7500396447985147
-1.433848441111111,2.708497902182023,-1.0932421933333334,2.086161745409579,-0.8492316599999999,1.5475085578011045,-0.25846146555555555,1.0344064767060355,0.16493924,0.764500477047825
-1.0926028655555555,3.3061183034518176,0.29294555111111115,2.6797841681404586,-0.8985398166666667,1.693330335706961,0.5145887766666666,1.5626299298546538,-0.34551536666666666,0.6009866798676818
-0.1379433355555556,2.2474975300900337,-0.16704164444444444,1.4362138750763154,-0.3182860822222223,1.8121970468055384,-0.10012864555555556,1.1348427373487049,0.9882706777777778,0.8620490629563572
-0.07752385999999994,2.7115989238972715,-1.34230218,0.9733118498710258,-0.45299899666666665,1.366188678318455,-0.7329714155555556,0.890063674345108,0.5415630344444444,0.4798451412416012
0.6254092711111111,2.324082451702033,-1.6483098277777777,1.2936594490831632,-0.2472864844444444,1.3328103061923187,-0.7432430288888888,0.8904376973653589,0.4056922511111111,0.5444864841301895
-0.6233539111111112,2.5085944953186106,-1.5318313155555554,1.791738619991272,-0.6623582577777777,1.5399730254403639,-0.2547470766666667,0.9812924175718365,0.5245092111111112,0.8171270125354516
0.1811256288888888,2.912005772755187,0.17599568444444458,2.097066667773849,-1.001281951111111,2.0129744970255006,0.5256834877777776,1.193981006394813,0.43614858333333334,0.8816302772980159
-0.002610202222222203,2.8265431487268766,-0.6011837777777777,1.8047873803143932,-0.49460544555555547,1.6781755575380477,-0.07014854777777774,1.1336757924525396,0.4762612222222222,0.6180104518628793
-0.19496718777777783,3.0401789517082194,-0.26586857444444445,2.0386467641974924,-1.3243241411111113,1.5438870214913265,-0.23472191888888894,1.3133393683933254,0.08596094444444444,0.4863037258108716
-0.5249020377777778,1.5614766042701491,-0.5633511722222223,1.2922631830753293,0.2710191344444444,1.53055998235405,-0.2568378011111111,0.9336871223963097,1.1325726455555556,0.8949777873544952
-0.6347801511111111,2.14646771322847,-0.6155087233333334,1.1792902993852696,0.15301304,1.5067725519376123,-0.40759644777777776,0.8672327174813292,1.1233880555555558,0.697446174253837
0.6254092711111112,2.3240824517020333,-1.6483098277777777,1.2936594490831632,-0.2472864844444444,1.3328103061923187,-0.7432430288888889,0.8904376973653588,0.405692251111111,0.5444864841301895
-0.3523080122222222,2.6757432969986628,-0.5348379255555555,1.7930082835382852,-1.0914441166666669,1.379506948096628,-0.010031206666666619,1.7547953112179198,0.3184671444444444,0.7208056969029495
0.38515706555555557,2.7389248138061553,-0.2665912611111111,1.8814104277990968,-0.26991806666666673,1.654772224442628,0.03609334222222224,1.0684133072030835,0.7267691833333333,0.7094964407629976
-0.9948535655555557,1.9650222770598151,-1.6543345522222224,1.795187427744002,-0.6132730622222222,1.1436395345660493,-0.7789687833333334,0.6912722787918627,-0.09547420000000001,0.8687050167165383
-0.013270849999999909,2.77728623836138,-0.7403146266666667,1.887273149868766,-0.5699167033333334,1.3744164798070893,-0.1670637711111111,1.545564998192408,-0.10881610222222222,0.4815812212872749
-0.20266054333333333,2.929492839735795,-0.8321721044444443,2.351988199852089,-0.5925946933333335,1.3525097354248732,-0.25838035666666664,1.3505705055105865,-0.18605912555555557,0.3349681211353607
