z1_mean,z2_mean,z3_mean,z4_mean,z5_mean
-1.27111111111111,-0.364444444444445,-1.27777777777778,0.0555555555555555,0.188888888888889
-1.43444444444444,-1.09333333333333,-0.848888888888889,-0.256666666666667,0.165555555555556
-1.09222222222222,0.293333333333333,-0.897777777777778,0.516666666666667,-0.347777777777778
-0.138888888888889,-0.165555555555556,-0.318888888888889,-0.101111111111111,0.987777777777778
-0.0777777777777777,-1.34,-0.453333333333334,-0.73,0.542222222222222
0.625555555555556,-1.64666666666667,-0.247777777777778,-0.741111111111111,0.406666666666667
-0.624444444444445,-1.53111111111111,-0.662222222222222,-0.253333333333333,0.525555555555556
0.181111111111111,0.176666666666667,-1.00111111111111,0.527777777777778,0.434444444444444
-0.0022222222222221,-0.598888888888889,-0.495555555555556,-0.0677777777777777,0.475555555555556
-0.194444444444444,-0.265555555555556,-1.32444444444444,-0.232222222222222,0.0855555555555555
-0.526666666666667,-0.562222222222222,0.268888888888889,-0.258888888888889,1.13333333333333
-0.635555555555555,-0.613333333333333,0.151111111111111,-0.408888888888889,1.12333333333333
0.625555555555556,-1.64666666666667,-0.247777777777778,-0.741111111111111,0.406666666666667
-0.353333333333333,-0.534444444444445,-1.09111111111111,-0.0088888888888888,0.317777777777778
0.385555555555556,-0.264444444444444,-0.27,0.0377777777777778,0.726666666666667
-0.996666666666667,-1.65555555555556,-0.613333333333333,-0.777777777777778,-0.0922222222222222
-0.0133333333333333,-0.738888888888889,-0.57,-0.165555555555556,-0.108888888888889
-0.203333333333333,-0.831111111111111,-0.592222222222222,-0.257777777777778,-0.185555555555556
-0.704444444444444,-1.69777777777778,-0.262222222222222,-0.781111111111111,0.122222222222222
-0.432222222222222,-0.354444444444445,-0.961111111111111,0.371111111111111,0.264444444444444
-0.613333333333333,0.154444444444444,-0.672222222222222,0.525555555555556,0.197777777777778
-1.00111111111111,0.0777777777777777,-0.787777777777778,0.946666666666667,-0.0366666666666666
-0.108888888888889,0.235555555555555,-0.194444444444444,0.561111111111111,-0.19
-0.372222222222222,-0.0166666666666667,-0.208888888888889,0.434444444444444,-0.163333333333333
-0.953333333333333,-0.746666666666667,-0.723333333333333,0.288888888888889,-0.0133333333333333
-1.34666666666667,-0.732222222222222,-1.48,-0.408888888888889,0.403333333333333
-0.428888888888889,-0.484444444444444,-1.1,-0.602222222222222,0.393333333333333
-0.164444444444444,-1.47555555555556,-0.421111111111111,-0.454444444444444,0.557777777777778
0.481111111111111,-0.641111111111111,-0.463333333333333,-0.455555555555556,0.0644444444444444
0.152222222222222,-0.996666666666667,-0.438888888888889,-0.968888888888889,0.113333333333333
-0.342222222222222,-1.33222222222222,-0.771111111111111,-0.477777777777778,0.357777777777778
0.762222222222222,-0.563333333333333,-0.556666666666667,-0.401111111111111,-0.02
0.767777777777778,0.328888888888889,-0.0722222222222222,-0.0188888888888888,0.503333333333333
-1.43888888888889,-1.46111111111111,-0.743333333333333,-0.431111111111111,0.564444444444444
-0.923333333333333,-1.61888888888889,-0.532222222222222,-0.427777777777778,0.524444444444445
-0.611111111111111,-1.43444444444444,-1.13111111111111,-0.66,0.328888888888889
1.30888888888889,-0.582222222222222,-0.71,-0.272222222222222,0.304444444444444
-1.43222222222222,-1.10111111111111,-0.46,-0.291111111111111,0.402222222222222
-0.916666666666667,-1.25888888888889,-0.248888888888889,-0.287777777777778,0.362222222222222
-0.414444444444445,-1.21222222222222,-1.36,-0.29,0.236666666666667
-0.773333333333333,-1.18333333333333,-0.685555555555556,-0.427777777777778,0.238888888888889
0.197777777777778,-0.04,0.0811111111111111,0.107777777777778,0.224444444444444
0.424444444444445,-0.3,-0.584444444444444,0.512222222222222,0.3
-0.316666666666667,-0.325555555555556,-0.877777777777778,0.586666666666667,0.318888888888889
-0.273333333333333,-0.373333333333333,-0.902222222222222,0.573333333333333,0.254444444444445
0.117777777777778,-0.201111111111111,-0.107777777777778,-0.474444444444444,0.287777777777778
0.344444444444445,-0.461111111111111,-0.773333333333333,-0.07,0.363333333333333
0.34,0.371111111111111,0.644444444444444,0.0266666666666666,0.363333333333333
0.611111111111111,-0.845555555555556,-0.631111111111111,-0.46,0.414444444444444
-0.477777777777778,-0.725555555555556,0.378888888888889,-0.795555555555556,0.607777777777778
0.416666666666667,-0.295555555555556,0.416666666666667,-0.891111111111111,0.26
-1.51555555555556,-0.13,0.857777777777778,0.143333333333333,0.116666666666667
-0.65,-0.358888888888889,0.486666666666667,0.434444444444444,-0.477777777777778
-0.826666666666667,0.01,-0.49,0.274444444444445,0.501111111111111
0.633333333333333,0.0288888888888889,-1.7,0.0911111111111111,-0.142222222222222
-0.0122222222222222,0.0833333333333333,-0.815555555555556,-0.202222222222222,0.341111111111111
0.0999999999999999,-0.938888888888889,-0.3,-1.22666666666667,0.0144444444444444
-0.54,-0.322222222222222,-0.365555555555556,0.0155555555555555,-0.0066666666666666
-0.0411111111111112,-0.594444444444445,-0.25,-0.836666666666667,-0.256666666666667
0.417777777777778,-0.66,0.0066666666666666,-0.758888888888889,-0.141111111111111
-0.532222222222222,0.524444444444444,-0.873333333333334,0.801111111111111,0.544444444444444
0.968888888888889,0.0066666666666666,-0.24,-0.177777777777778,0.245555555555556
0.771111111111111,-0.812222222222222,-0.676666666666667,-0.913333333333333,0.353333333333333
0.0711111111111111,-1.19777777777778,-0.7,-0.296666666666667,0.155555555555556
-1.25666666666667,-1.13,-1.10777777777778,0.0722222222222222,0.373333333333333
-1.96,-0.823333333333333,-1.31333333333333,0.0833333333333333,0.508888888888889
-2.78333333333333,-1.29333333333333,-1.11444444444444,-0.231111111111111,0.556666666666667
-1.11222222222222,-0.454444444444444,0.702222222222222,-0.276666666666667,-0.171111111111111
-1.89888888888889,-0.335555555555556,0.0733333333333333,-0.11,-0.612222222222222
0.681111111111111,-0.145555555555556,-0.275555555555556,-0.0444444444444444,0.4
0.483333333333333,-0.964444444444444,-0.712222222222222,-0.78,0.507777777777778
-0.0655555555555555,-1.37666666666667,-0.587777777777778,-0.352222222222222,0.208888888888889
-1.47888888888889,-2.10888888888889,-0.572222222222222,-0.417777777777778,0.275555555555556
-1.50222222222222,-1.85555555555556,-0.394444444444445,-0.18,0.21
0.445555555555555,0.928888888888889,0.31,0.592222222222222,0.827777777777778
-0.596666666666667,0.247777777777778,0.372222222222222,0.458888888888889,0.852222222222222
1.49666666666667,0.626666666666667,-0.0922222222222222,0.0066666666666666,0.0244444444444444
0.327777777777778,0.448888888888889,0.362222222222222,0.838888888888889,0.813333333333333
-0.714444444444444,-0.232222222222222,0.424444444444444,0.705555555555556,0.837777777777778
1.03777777777778,0.44,0.0833333333333333,-0.348888888888889,0.236666666666667
