mean_1,mean_2,mean_3,mean_4,std_1,std_2,std_3,std_4,y
-1.1732871233333333,-0.5513205633333335,-1.321155507777778,-0.07467904111111111,2.6173305310221187,2.9831706765420765,1.6797230073894576,0.6905702421983173,1
-1.1586559555555556,-1.361058987777778,-0.9332319044444445,0.10041397222222222,2.6404088715659073,2.5071390098963797,1.5605116545437518,1.0129977257734886,0
-1.2619957888888889,0.2882620466666666,-0.8284954377777778,0.09538674111111116,3.443358801915831,3.193600650239761,1.8235200545766257,1.0945456559275788,1
0.025952923333333298,-0.2790369344444445,-0.5058275066666666,-0.3044076133333333,2.140122444322115,1.9945729712284983,1.6817459820607448,0.770837244771628,0
0.333583518888889,-1.5081041166666667,-0.60209798,0.03225685333333333,2.7061228392505265,1.5689141063127858,1.4042883088013465,0.6437776852948125,0
1.0248291388888888,-1.5792789033333334,-0.39486252222222223,0.37083176333333334,2.3346157987390606,1.6339892628629293,1.360752095191481,0.8788736372826034,0
-0.2956754277777779,-1.5371842411111114,-0.8476745955555558,0.39795752555555564,2.360241226488009,2.319398728255807,1.4425144615276744,0.9236388835738137,0
0.04823931666666665,0.47681984555555545,-1.080638013333333,0.16459165888888888,2.6442455467787354,2.93654566361874,1.9391736361226033,0.802000627474774,0
0.13355754777777784,-0.5353439144444444,-0.6151562844444445,0.13482672888888889,2.79677368234526,2.410507090441022,1.700377649273397,0.7913025155031409,1
-0.09886046666666666,-0.3398928311111111,-1.3193360922222221,-0.1241725411111111,2.8790884464033653,2.8798179263258494,1.5963750164103399,0.7729368628265723,0
-0.2299243988888889,-0.8148878900000001,0.022084546666666642,-0.2884858322222222,1.6987534885258753,1.2871870803013452,1.403408952187501,0.7134460388153379,0
-0.2901786544444444,-0.959166377777778,-0.08683448777777777,-0.39163019111111114,2.2390796164975573,1.2939660430495041,1.432601163335853,0.6934818353373011,0
1.0248291388888888,-1.5792789033333332,-0.39486252222222223,0.37083176333333334,2.3346157987390606,1.6339892628629291,1.360752095191481,0.8788736372826034,0
-0.24762448888888888,-0.5035254933333335,-1.1689132811111111,0.10742559222222221,2.3477850737399155,2.897625444318125,1.320027998824366,1.0129459599502084,1
0.46688445111111115,-0.13725206777777776,-0.4229740877777778,0.025604325555555536,2.7306412253928656,2.328915708699685,1.6597015102873875,1.0392998495283676,1
-0.5659375044444445,-1.9679327633333337,-0.6624262233333335,0.19467453888888894,2.170117562801773,1.596119467987268,1.1792287977562708,0.9651506574892772,0
0.09549492666666665,-0.6580304888888889,-0.58336284,0.30977383999999997,3.007488095766051,2.1731240346405167,1.4944707691843533,1.2373191135779742,1
-0.05856676111111097,-0.8225223522222223,-0.5930028388888888,0.28233576222222223,3.1554670238142664,2.37119574838023,1.5031400020008887,1.4521604134607982,1
-0.25581956222222213,-1.9595996033333334,-0.36127379,0.21584123555555557,3.0188765968030764,1.8349710700744402,1.3112031534630433,1.3335404409557459,0
-0.44907804444444444,-0.1803648944444445,-1.0406304811111111,0.29342454999999995,2.8304760846455634,3.460877207723213,1.543123495368064,1.3498780835795494,1
-0.7255838011111112,0.25668047888888884,-0.7190094611111112,0.11471222555555552,3.1034630299644514,3.2793064438248556,1.694318170001492,1.4422393905144943,1
-1.2269446322222222,0.33917864555555544,-0.820928451111111,0.4676560844444444,2.6785688222034363,3.173021698868517,1.4316781156676393,1.2929288716322593,1
-0.30664186333333326,0.47743817555555546,-0.1744825544444444,0.31350000888888885,2.9042233436281566,2.349387558920732,1.4641760614308335,1.2911592765904063,1
-0.49045997111111117,0.13832044777777772,-0.20481399333333336,0.30773770333333333,3.126664389508256,2.425215745486024,1.4318653787522788,0.9825541197712909,0
-0.9067942333333333,-0.6644052044444444,-0.7823576511111111,0.45153290555555553,2.8141396235888396,2.8134770238337556,1.353825221527131,0.6292181928435954,1
-1.0542807688888889,-1.1202430044444445,-1.5603147744444446,-0.29293264333333335,3.090686399138221,2.6812600313575388,1.4390506347573733,0.8846185526060221,0
-0.15697292777777783,-0.80283093,-1.1539255777777777,-0.3993822833333333,3.404049660398649,2.663215804586606,1.8545560043781166,1.0091929133405309,0
0.19552464666666663,-1.493902758888889,-0.5994203988888889,0.2966483744444444,1.9908692916098782,1.651400275106745,1.3477579501969774,0.5480528300786556,0
